Years,Precipitation (mm/day)
1990,1.487777778
1991,2.046111111
1992,1.324444444
1993,1.948055556
1994,1.745416667
1995,2.123194444
1996,2.263472222
1997,1.883194444
1998,2.004027778
1999,1.791388889
2000,2.369166667
2001,2.383333333
2002,2.000833333
2003,1.628611111
2004,2.068472222
2005,1.876111111
2006,2.649722222
2007,1.741805556
2008,1.940416667
2009,1.689583333
2010,1.694861111
2011,2.215416667
2012,2.1
2013,1.620138889
2014,1.681111111
2015,1.561388889
2016,1.59375
2017,1.786527778
2018,1.513333333
2019,1.468055556
2020,1.91375
2021,1.989027778
